JB,TH,BA,TH,JC,MISS,
JB,DR,BA,NO PLAY,,,
TH,JC,MAKE,,,,
JB,TURNOVER,,,,,
JB,TH,BA,FOUL NON-SHOOTING,,,
TH,JB,BA,MISS,,,
JB,TH,JC,BA,JB,DR,MAKE
JB,TH,MISS,,,,
JB,BA,MAKE,,,,
JB,BA,JB,MAKE,,,
JB,JC,DR,JC,TURNOVER,,
JB,TH,BA,DR,JC,MISS,
JC,TH,MISS,,,,
JB,DR,MAKE,,,,
JB,TH,MAKE,,,,
JB,JC,TH,TURNOVER,,,
JB,AI,JB,MISS,,,
JB,DR,MISS,,,,
JB,AI,DR,AI,KN,JC,MISS
AI,JB,KN,JC,AND_ONE,,
KN,JB,KN,NO PLAY,,,
JB,TURNOVER,,,,,
KN,JC,TURNOVER,,,,
JB,KN,BA,MISS,,,
AI,BA,DR,BA,TURNOVER,,
JB,BA,DR,AND_ONE,,,
JB,BA,MAKE,,,,
